owner_org,ati_all,ati_all_change_30-days,ati_all_change_90-days,ati_all_change_6-months,ati_nil,ati_nil_change_30-days,ati_nil_change_90-days,ati_nil_change_6-months,briefingt,briefingt_change_30-days,briefingt_change_90-days,briefingt_change_6-months,contracts,contracts_change_30-days,contracts_change_90-days,contracts_change_6-months,contracts_nil,contracts_nil_change_30-days,contracts_nil_change_90-days,contracts_nil_change_6-months,contractsa,contractsa_change_30-days,contractsa_change_90-days,contractsa_change_6-months,dac,dac_change_30-days,dac_change_90-days,dac_change_6-months,grants,grants_change_30-days,grants_change_90-days,grants_change_6-months,grants_nil,grants_nil_change_30-days,grants_nil_change_90-days,grants_nil_change_6-months,hospitalityq,hospitalityq_change_30-days,hospitalityq_change_90-days,hospitalityq_change_6-months,hospitalityq_nil,hospitalityq_nil_change_30-days,hospitalityq_nil_change_90-days,hospitalityq_nil_change_6-months,parliament_committee,parliament_committee_change_30-days,parliament_committee_change_90-days,parliament_committee_change_6-months,parliament_committee_deputy,parliament_committee_deputy_change_30-days,parliament_committee_deputy_change_90-days,parliament_committee_deputy_change_6-months,parliament_report,parliament_report_change_30-days,parliament_report_change_90-days,parliament_report_change_6-months,qpnotes,qpnotes_change_30-days,qpnotes_change_90-days,qpnotes_change_6-months,qpnotes_nil,qpnotes_nil_change_30-days,qpnotes_nil_change_90-days,qpnotes_nil_change_6-months,reclassification,reclassification_change_30-days,reclassification_change_90-days,reclassification_change_6-months,reclassification_nil,reclassification_nil_change_30-days,reclassification_nil_change_90-days,reclassification_nil_change_6-months,transition,transition_change_30-days,transition_change_90-days,transition_change_6-months,transition_deputy,transition_deputy_change_30-days,transition_deputy_change_90-days,transition_deputy_change_6-months,travela,travela_change_30-days,travela_change_90-days,travela_change_6-months,travelq,travelq_change_30-days,travelq_change_90-days,travelq_change_6-months,travelq_nil,travelq_nil_change_30-days,travelq_nil_change_90-days,travelq_nil_change_6-months,wrongdoing,wrongdoing_change_30-days,wrongdoing_change_90-days,wrongdoing_change_6-months,Total Original,Total Change 30-days,Total Change 90-days,Total Change 6-months
ijc-cmi,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,263,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,69,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,290,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,625,0.0,0.0,0.0
infc,2258,7.0,26.0,69.0,1,0.0,0.0,0.0,4038,75.0,147.0,311.0,1171,24.0,72.0,72.0,0,0.0,0.0,0.0,8,0.0,1.0,1.0,111,0.0,4.0,4.0,1882,54.0,54.0,379.0,0,0.0,0.0,0.0,120,2.0,3.0,6.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.0,2.0,2.0,120,4.0,4.0,4.0,0,0.0,0.0,,19,1.0,1.0,1.0,0,0.0,0.0,0.0,6,0.0,6.0,6.0,1,0.0,1.0,1.0,9,0.0,0.0,0.0,1600,13.0,21.0,111.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,11347,180.0,342.0,967.0
innovation,26,0.0,0.0,0.0,61,1.0,3.0,6.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,93,3.0,6.0,17.0,41,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,363,6.0,19.0,44.0,26,0.0,0.0,0.0,0,0.0,0.0,0.0,610,10.0,28.0,67.0
irb-cisr,842,0.0,18.0,46.0,0,0.0,0.0,0.0,961,13.0,42.0,87.0,4668,160.0,483.0,483.0,0,0.0,0.0,0.0,6,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,27,0.0,0.0,0.0,60,1.0,3.0,6.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,150,0.0,0.0,1.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,0.0,0.0,0.0,234,4.0,9.0,32.0,25,0.0,0.0,0.0,0,0.0,0.0,0.0,6984,178.0,556.0,656.0
isc-sac,1779,59.0,104.0,168.0,10,0.0,0.0,0.0,3997,42.0,118.0,327.0,7261,203.0,507.0,506.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,99,0.0,4.0,8.0,139652,3573.0,3573.0,12695.0,1,0.0,0.0,0.0,96,0.0,7.0,14.0,0,0.0,0.0,0.0,7,0.0,0.0,0.0,0,0.0,0.0,0.0,9,0.0,0.0,0.0,285,32.0,32.0,32.0,0,0.0,0.0,,61,0.0,0.0,31.0,15,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1259,28.0,54.0,206.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,154532,3938.0,4400.0,13988.0
jccbi-pjcci,106,0.0,0.0,0.0,53,1.0,3.0,6.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,159,1.0,3.0,6.0
jfpc-cfp,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,16,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,40,0.0,0.0,0.0,5,0.0,0.0,0.0,0,0.0,0.0,0.0,61,0.0,0.0,0.0
jus,4118,29.0,64.0,119.0,0,0.0,0.0,0.0,4367,47.0,100.0,250.0,4122,96.0,241.0,240.0,0,0.0,0.0,0.0,8,0.0,1.0,1.0,85,0.0,0.0,3.0,4588,35.0,35.0,647.0,1,0.0,0.0,0.0,323,1.0,3.0,14.0,26,0.0,0.0,0.0,52,0.0,0.0,3.0,3,0.0,0.0,0.0,2,0.0,0.0,0.0,21,0.0,0.0,0.0,3,0.0,1.0,,924,0.0,0.0,0.0,1,0.0,0.0,0.0,5,2.0,2.0,2.0,0,0.0,0.0,0.0,8,0.0,0.0,0.0,1037,4.0,13.0,45.0,11,0.0,0.0,0.0,0,0.0,0.0,0.0,19705,214.0,460.0,1324.0
lac-bac,7489,89.0,306.0,665.0,0,0.0,0.0,0.0,285,2.0,12.0,20.0,2371,43.0,48.0,133.0,0,0.0,0.0,0.0,8,0.0,1.0,1.0,0,0.0,0.0,0.0,403,35.0,35.0,118.0,0,0.0,0.0,0.0,29,1.0,1.0,1.0,53,0.0,2.0,5.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,184,0.0,0.0,13.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,9,0.0,0.0,0.0,138,4.0,8.0,12.0,24,0.0,0.0,1.0,0,0.0,0.0,0.0,11000,174.0,413.0,969.0
lpa-apl,13,0.0,0.0,1.0,60,1.0,3.0,5.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,73,1.0,3.0,6.0
mai,58,0.0,0.0,2.0,31,1.0,2.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,89,1.0,2.0,5.0
mgerc-ceegm,59,0.0,0.0,2.0,54,2.0,3.0,4.0,0,0.0,0.0,0.0,268,1.0,5.0,5.0,2,0.0,0.0,0.0,9,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,32,0.0,0.0,0.0,100,0.0,2.0,5.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,7,0.0,0.0,0.0,15,1.0,2.0,2.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,8,0.0,0.0,0.0,147,0.0,0.0,0.0,77,0.0,2.0,5.0,0,0.0,0.0,0.0,780,5.0,15.0,24.0
mint-monnaie,93,0.0,2.0,2.0,37,2.0,2.0,5.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,33,5.0,17.0,33.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,33,8.0,21.0,33.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,196,15.0,42.0,73.0
mlvwb-otevm,1,0.0,0.0,0.0,63,1.0,2.0,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,64,1.0,2.0,4.0
mpa-apm,74,0.0,2.0,7.0,15,0.0,1.0,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,89,0.0,3.0,9.0
mpcc-cppm,139,0.0,0.0,0.0,36,1.0,3.0,5.0,142,0.0,0.0,4.0,231,6.0,6.0,8.0,0,0.0,0.0,0.0,7,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,157,1.0,4.0,6.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,7,0.0,0.0,0.0,34,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,9,0.0,0.0,0.0,19,0.0,0.0,0.0,83,1.0,3.0,5.0,0,0.0,0.0,0.0,864,9.0,17.0,30.0
mveirb-oervm,0,0.0,0.0,0.0,55,3.0,3.0,7.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,55,3.0,3.0,7.0
nac-cna,20,3.0,3.0,3.0,23,6.0,6.0,6.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,43,9.0,9.0,9.0
nbc-ccbn,6,0.0,0.0,0.0,52,1.0,3.0,6.0,0,0.0,0.0,0.0,495,0.0,131.0,131.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,90,0.0,42.0,43.0,18,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.0,1.0,2.0,37,0.0,1.0,4.0,28,0.0,0.0,0.0,0,0.0,0.0,0.0,732,1.0,178.0,186.0
ncc-ccn,990,11.0,24.0,33.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,66,5.0,13.0,45.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,63,4.0,17.0,35.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1122,20.0,54.0,113.0
ndcfo-odnfc,41,0.0,0.0,0.0,27,1.0,2.0,5.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,43,0.0,0.0,0.0,60,1.0,2.0,5.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,34,0.0,0.0,1.0,54,1.0,2.0,4.0,0,0.0,0.0,0.0,259,3.0,6.0,15.0
nfb-onf,174,0.0,0.0,1.0,34,0.0,2.0,5.0,0,0.0,0.0,0.0,2005,72.0,72.0,232.0,0,0.0,0.0,0.0,8,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,373,1.0,2.0,25.0,30,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,452,5.0,7.0,16.0,33,0.0,1.0,2.0,0,0.0,0.0,0.0,3110,78.0,85.0,283.0
ngc-mbac,70,0.0,1.0,2.0,46,1.0,2.0,5.0,0,0.0,0.0,0.0,334,85.0,85.0,125.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,98,12.0,19.0,33.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,136,15.0,26.0,42.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,684,113.0,133.0,207.0
nirb-cner,0,0.0,0.0,0.0,33,1.0,3.0,7.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,33,1.0,3.0,7.0
nnpa-apn,5,0.0,0.0,2.0,24,0.0,0.0,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,29,0.0,0.0,4.0
npa-apn,15,0.0,1.0,1.0,62,1.0,2.0,5.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,80,1.0,3.0,6.0
nrc-cnrc,261,8.0,14.0,16.0,0,0.0,0.0,0.0,142,0.0,0.0,2.0,46622,746.0,1510.0,1510.0,0,0.0,0.0,0.0,6,0.0,1.0,1.0,86,0.0,3.0,7.0,70491,0.0,0.0,1950.0,0,0.0,0.0,0.0,1287,2.0,10.0,19.0,34,0.0,1.0,1.0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,9,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,2592,25.0,63.0,70.0,9,0.0,0.0,0.0,1,0.0,0.0,0.0,121545,781.0,1602.0,3576.0
nrcan-rncan,6999,56.0,112.0,256.0,0,0.0,0.0,0.0,5526,75.0,139.0,312.0,30126,355.0,1059.0,1059.0,0,0.0,0.0,0.0,8,0.0,1.0,1.0,103,0.0,4.0,8.0,10258,154.0,159.0,1011.0,0,0.0,0.0,0.0,818,1.0,2.0,8.0,23,0.0,0.0,0.0,19,0.0,0.0,2.0,3,0.0,0.0,0.0,1,0.0,0.0,0.0,94,0.0,0.0,0.0,1,0.0,0.0,,224,6.0,6.0,11.0,0,0.0,0.0,0.0,3,1.0,1.0,2.0,4,0.0,0.0,0.0,12,0.0,0.0,0.0,2842,16.0,26.0,98.0,13,0.0,0.0,0.0,0,0.0,0.0,0.0,57077,664.0,1509.0,2768.0
nserc-crsng,120,6.0,8.0,12.0,14,0.0,0.0,1.0,143,0.0,4.0,7.0,1348,21.0,61.0,65.0,10,0.0,0.0,0.0,4,0.0,1.0,1.0,43,3.0,4.0,4.0,141471,4189.0,3932.0,5437.0,0,0.0,0.0,0.0,19,0.0,0.0,0.0,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,8,0.0,0.0,0.0,337,2.0,6.0,18.0,13,0.0,0.0,0.0,0,0.0,0.0,0.0,143545,4221.0,4016.0,5545.0
nsira-ossnr,96,16.0,32.0,43.0,20,0.0,0.0,1.0,0,0.0,0.0,0.0,153,0.0,0.0,6.0,0,0.0,0.0,0.0,6,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,43,0.0,0.0,0.0,50,1.0,3.0,6.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,0.0,0.0,0.0,110,0.0,0.0,0.0,33,1.0,3.0,6.0,0,0.0,0.0,0.0,517,18.0,38.0,63.0
oag-bvg,73,1.0,4.0,5.0,9,1.0,3.0,9.0,1038,13.0,33.0,74.0,1962,31.0,76.0,76.0,0,0.0,0.0,0.0,8,0.0,1.0,1.0,74,3.0,6.0,9.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,191,0.0,0.0,7.0,17,0.0,2.0,3.0,0,0.0,0.0,0.0,129,0.0,0.0,6.0,86,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,3,0.0,0.0,0.0,256,0.0,4.0,11.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,3849,49.0,129.0,201.0
occe-bcef,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.0,0.0,0.0
oci-bec,113,1.0,2.0,2.0,39,0.0,2.0,4.0,44,1.0,3.0,3.0,88,8.0,15.0,15.0,3,0.0,0.0,0.0,3,0.0,2.0,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,23,0.0,0.0,1.0,24,0.0,2.0,5.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,2,0.0,0.0,0.0,15,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.0,0.0,0.0,135,0.0,4.0,10.0,6,1.0,1.0,2.0,0,0.0,0.0,0.0,500,11.0,31.0,44.0
ocl-cal,59,0.0,1.0,1.0,46,1.0,2.0,4.0,25,0.0,0.0,1.0,163,3.0,3.0,7.0,1,0.0,0.0,0.0,8,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,23,0.0,0.0,2.0,59,1.0,3.0,5.0,0,0.0,0.0,0.0,10,0.0,0.0,0.0,11,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,2,0.0,0.0,0.0,22,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,1.0,1.0,1.0,11,0.0,1.0,1.0,64,1.0,2.0,5.0,0,0.0,0.0,0.0,512,8.0,14.0,29.0
ocol-clo,195,0.0,0.0,3.0,9,1.0,3.0,4.0,368,0.0,17.0,25.0,525,18.0,18.0,36.0,0,0.0,0.0,0.0,8,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,60,1.0,1.0,3.0,44,0.0,2.0,4.0,1,0.0,0.0,1.0,4,0.0,0.0,1.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,60,0.0,0.0,0.0,26,1.0,1.0,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,0.0,0.0,0.0,105,1.0,1.0,3.0,40,0.0,2.0,3.0,0,0.0,0.0,0.0,1455,22.0,46.0,86.0
ocsec-bccst,6,0.0,0.0,0.0,62,1.0,3.0,6.0,0,0.0,0.0,0.0,13,1.0,1.0,2.0,13,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,70,1.0,3.0,6.0,0,0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,5,0.0,0.0,0.0,7,1.0,1.0,2.0,66,0.0,2.0,4.0,0,0.0,0.0,0.0,248,4.0,10.0,20.0
